Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180703-145702:792,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1057460,31250,TRUE,58439,1y,10y,221449,443715,443715,1/1/1855,01/01/2015,72.21773339,270.6614389,7.10E-06,src/main/resources/valipop/results/batch52-fs/20180703-145702:792,0,0,0.6,0.6,TRUE,147,7058.321736,NONE,0,0.352362721
20180703-150623:569,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186657,31250,TRUE,58439,1y,10y,248413,498016,498016,1/1/1855,01/01/2015,76.660734,278.0804166,6.49E-06,src/main/resources/valipop/results/batch52-fs/20180703-150623:569,0,0,0.6,0.6,TRUE,147,6080.498688,NONE,22,345.9681306
20180703-150739:388,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1056794,31250,TRUE,58439,1y,10y,221106,443439,443439,1/1/1855,01/01/2015,71.22730334,270.4572856,6.31E-06,src/main/resources/valipop/results/batch52-fs/20180703-150739:388,0,0,0.6,0.6,TRUE,147,6581.404456,NONE,15,340.2733637
20180703-150911:214,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1060470,31250,TRUE,58439,1y,10y,221912,445377,445377,1/1/1855,01/01/2015,70.50715965,268.030743,6.09E-06,src/main/resources/valipop/results/batch52-fs/20180703-150911:214,0,0,0.6,0.6,TRUE,147,6161.193688,NONE,20,338.1204142
20180703-150833:253,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1182963,31250,TRUE,58439,1y,10y,247787,496675,496675,1/1/1855,01/01/2015,79.06390966,294.1217572,5.63E-06,src/main/resources/valipop/results/batch52-fs/20180703-150833:253,0,0,0.6,0.6,TRUE,147,6681.564776,NONE,21,357.6712422
20180703-151807:604,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188906,31250,TRUE,58439,1y,10y,248901,499029,499029,1/1/1855,01/01/2015,76.30814359,276.855377,1.97E-06,src/main/resources/valipop/results/batch52-fs/20180703-151807:604,0,0,0.6,0.6,TRUE,147,7997.184392,NONE,20,347.6761494
20180703-151904:637,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1175225,31250,TRUE,58439,1y,10y,246091,493071,493071,1/1/1855,01/01/2015,77.30666971,283.85994,2.00E-06,src/main/resources/valipop/results/batch52-fs/20180703-151904:637,0,0,0.6,0.6,TRUE,147,8090.40632,NONE,41,348.1409693
20180703-152031:151,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193813,31250,TRUE,58439,1y,10y,249901,501670,501670,1/1/1855,01/01/2015,77.16192233,278.7796047,1.99E-06,src/main/resources/valipop/results/batch52-fs/20180703-152031:151,0,0,0.6,0.6,TRUE,147,8042.782408,NONE,19,349.7023214
20180703-152047:625,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1196082,31250,TRUE,58439,1y,10y,250257,502416,502416,1/1/1855,01/01/2015,80.68629449,295.1819312,1.96E-06,src/main/resources/valipop/results/batch52-fs/20180703-152047:625,0,0,0.6,0.6,TRUE,147,8167.466128,NONE,21,350.0975384
20180703-152951:195,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1322483,31250,TRUE,58439,1y,10y,276687,555801,555801,1/1/1855,01/01/2015,84.04931067,297.3343478,2.24E-06,src/main/resources/valipop/results/batch52-fs/20180703-152951:195,0,0,0.6,0.6,TRUE,147,8186.9522,NONE,21,376.3211982
